"Период","1","2-3","4-7"
"2023-05-24","36","8","7",""
"2023-05-25","26","9","3",""
"2023-05-26","37","7","1",""
"2023-05-27","22","10","4",""
"2023-05-28","27","8","4",""
"2023-05-29","33","6","3",""
"2023-05-30","40","5","2",""
"2023-05-31","35","10","1",""
"2023-06-01","51","13","4",""
"2023-06-02","29","7","5",""
"2023-06-03","36","7","4",""
"2023-06-04","28","12","4",""
"2023-06-05","37","12","3",""
"2023-06-06","31","15","2",""
"2023-06-07","34","17","2",""
"2023-06-08","37","7","5",""
"2023-06-09","29","13","2",""
"2023-06-10","36","13","7",""
"2023-06-11","28","6","3",""
"2023-06-12","39","8","5",""
"2023-06-13","35","9","5",""
"2023-06-14","42","11","3",""
"2023-06-15","38","6","3",""
"2023-06-16","38","10","6",""
"2023-06-17","30","10","5",""
"2023-06-18","25","2","2",""
"2023-06-19","40","12","5",""
"2023-06-20","58","13","2",""
"2023-06-21","65","13","4",""
"2023-06-22","53","7","5",""
"2023-06-23","43","8","3",""
"2023-06-24","18","8","1",""
"2023-06-25","27","9","1",""
"2023-06-26","42","12","2",""
"2023-06-27","46","7","4",""
"2023-06-28","43","10","4",""
"2023-06-29","46","16","2",""
"2023-06-30","39","4","3",""
"2023-07-01","32","6","3",""
"2023-07-02","28","1","1",""
"2023-07-03","28","11","3",""
"2023-07-04","42","10","7",""
"2023-07-05","54","6","4",""
"2023-07-06","51","6","3",""
"2023-07-07","50","7","4",""
"2023-07-08","33","4","4",""
"2023-07-09","34","3","3",""
"2023-07-10","58","13","2",""
"2023-07-11","34","10","5",""
"2023-07-12","62","9","4",""
"2023-07-13","59","16","3",""
"2023-07-14","40","11","3",""
"2023-07-15","35","9","2",""
"2023-07-16","32","15","5",""
"2023-07-17","47","11","8",""
"2023-07-18","55","9","5",""
"2023-07-19","63","10","7",""
"2023-07-20","61","11","2",""
"2023-07-21","33","12","4",""
"2023-07-22","38","8","4",""
"2023-07-23","41","9","3",""
"2023-07-24","55","11","9",""
"2023-07-25","52","10","4",""
"2023-07-26","60","8","2",""
"2023-07-27","50","6","2",""
"2023-07-28","68","6","2",""
"2023-07-29","54","7","4",""
"2023-07-30","44","2","4",""
"2023-07-31","68","14","8",""
"2023-08-01","77","20","3",""
"2023-08-02","76","9","4",""
"2023-08-03","80","6","2",""
"2023-08-04","78","8","5",""
"2023-08-05","66","9","2",""
"2023-08-06","60","5","0",""
"2023-08-07","66","6","3",""
"2023-08-08","56","7","0",""
"2023-08-09","69","5","3",""
"2023-08-10","61","13","2",""
"2023-08-11","57","10","1",""
"2023-08-12","51","5","2",""
"2023-08-13","62","4","5",""
"2023-08-14","62","8","2",""
"2023-08-15","55","13","3",""
"2023-08-16","73","18","1",""
"2023-08-17","57","10","2",""
"2023-08-18","54","13","0",""
"2023-08-19","64","8","1",""
"2023-08-20","45","7","2",""
"2023-08-21","67","13","3",""
"2023-08-22","58","9","2",""
"2023-08-23","56","13","6",""
"2023-08-24","44","6","4",""
"2023-08-25","59","7","4",""
"2023-08-26","48","2","2",""
"2023-08-27","35","3","2",""
"2023-08-28","66","15","8",""
"2023-08-29","48","8","3",""
"2023-08-30","83","10","8",""
"2023-08-31","57","11","6",""
"2023-09-01","70","11","3",""
"2023-09-02","47","2","1",""
"2023-09-03","53","9","2",""
"2023-09-04","71","12","3",""
"2023-09-05","69","16","1",""
"2023-09-06","57","14","4",""
"2023-09-07","52","8","1",""
"2023-09-08","40","8","4",""
"2023-09-09","50","6","2",""
"2023-09-10","42","3","2",""
"2023-09-11","66","11","2",""
"2023-09-12","69","13","1",""
"2023-09-13","68","7","4",""
"2023-09-14","58","15","6",""
"2023-09-15","52","10","5",""
"2023-09-16","62","17","1",""
"2023-09-17","59","14","4",""
"2023-09-18","60","20","4",""
"2023-09-19","45","10","10",""
"2023-09-20","54","21","4",""
"2023-09-21","44","9","4",""
"2023-09-22","39","15","4",""
"2023-09-23","35","8","3",""
"2023-09-24","42","9","5",""
"2023-09-25","51","12","4",""
"2023-09-26","57","14","8",""
"2023-09-27","45","9","3",""
"2023-09-28","43","12","9",""
"2023-09-29","41","10","3",""
"2023-09-30","39","13","7",""
"2023-10-01","33","12","2",""
"2023-10-02","49","15","4",""
"2023-10-03","53","18","3",""
"2023-10-04","50","18","6",""
"2023-10-05","45","13","1",""
"2023-10-06","43","11","4",""
"2023-10-07","27","7","7",""
"2023-10-08","46","7","3",""
"2023-10-09","54","9","2",""
"2023-10-10","40","14","6",""
"2023-10-11","55","12","3",""
"2023-10-12","49","9","1",""
"2023-10-13","43","8","8",""
"2023-10-14","27","7","6",""
"2023-10-15","39","6","2",""
"2023-10-16","40","16","5",""
"2023-10-17","14","8","0",""
